dir,dist1,dist2
1WM1bot.pdb_1WM1cap.pdb,14.8879394478,10.1610705145
1WM1bot.pdb_1WM1cap.pdb,26.4567482129,10.5172928076
1WM1bot.pdb_1WM1cap.pdb,19.8298974783,11.3543828102
1WM1bot.pdb_1WM1cap.pdb,21.1907259432,10.448166777
1WM1bot.pdb_1WM1cap.pdb,19.6725176325,7.2951514035
1WM1bot.pdb_1WM1cap.pdb,32.2898483428,9.90220515845
1WM1bot.pdb_1WM1cap.pdb,29.1105449794,10.9857538203
1WM1bot.pdb_1WM1cap.pdb,18.594735384,6.45738654565
1WM1bot.pdb_1WM1cap.pdb,15.5241352094,7.72346729131
1WM1bot.pdb_1WM1cap.pdb,19.7709673511,4.9473957796
1WM1bot.pdb_1WM1cap.pdb,21.4133515592,9.86993581539
1WM1bot.pdb_1WM1cap.pdb,16.0151850754,9.78502335204
1WM1bot.pdb_1WM1cap.pdb,20.0570018946,9.75081499158
1WM1bot.pdb_1WM1cap.pdb,15.6466872532,8.89460538754
1WM1bot.pdb_1WM1cap.pdb,17.8595848216,5.60191342311
1WM1bot.pdb_1WM1cap.pdb,20.2995834686,11.0345320698
1WM1bot.pdb_1WM1cap.pdb,17.0797053253,8.05539490031
1WM1bot.pdb_1WM1cap.pdb,26.1317606372,11.0278788985
1WM1bot.pdb_1WM1cap.pdb,18.1812385167,4.11292839714
1WM1bot.pdb_1WM1cap.pdb,21.4144249981,10.8735255552
1WM1bot.pdb_1WM1cap.pdb,25.027786678,9.19654261122
1WM1bot.pdb_1WM1cap.pdb,8.59525595896,11.3634439322
1WM1bot.pdb_1WM1cap.pdb,23.9015335491,8.71584339006
1WM1bot.pdb_1WM1cap.pdb,23.0585079092,10.9927018517
1WM1bot.pdb_1WM1cap.pdb,15.3730174657,7.87707572644
1WM1bot.pdb_1WM1cap.pdb,14.5119086615,5.71266960361
1WM1bot.pdb_1WM1cap.pdb,14.0404122447,11.2218531446
1WM1bot.pdb_1WM1cap.pdb,13.6722016881,4.30184379075
1WM1bot.pdb_1WM1cap.pdb,19.4203714949,6.20627472805
1WM1bot.pdb_1WM1cap.pdb,21.9086898285,9.29551574685
1WM1bot.pdb_1WM1cap.pdb,23.472020386,11.3181844392
1WM1bot.pdb_1WM1cap.pdb,17.4151320983,5.92035007411
1WM1bot.pdb_1WM1cap.pdb,24.9420823108,10.4635243585
1WM1bot.pdb_1WM1cap.pdb,8.69476635684,10.97751133
1WM1bot.pdb_1WM1cap.pdb,18.1898141552,9.12986051372
1WM1bot.pdb_1WM1cap.pdb,29.0861449491,11.2040274009
1WM1bot.pdb_1WM1cap.pdb,25.0186232035,10.9420340431
1WM1bot.pdb_1WM1cap.pdb,22.0993751269,6.26917833532
1WM1bot.pdb_1WM1cap.pdb,18.8964420196,8.00800312188
1WM1bot.pdb_1WM1cap.pdb,22.650583966,11.3066392
1WM1bot.pdb_1WM1cap.pdb,14.610253557,7.98762755767
1WM1bot.pdb_1WM1cap.pdb,15.7395226738,6.77880660589
1WM1bot.pdb_1WM1cap.pdb,17.6843906313,6.25129250635
1WM1bot.pdb_1WM1cap.pdb,32.9034496216,10.46544323
1WM1bot.pdb_1WM1cap.pdb,19.5047012538,9.68621649562
1WM1bot.pdb_1WM1cap.pdb,29.0712154889,9.85965486211
1WM1bot.pdb_1WM1cap.pdb,25.302237569,8.08069514336
1WM1bot.pdb_1WM1cap.pdb,12.5013767642,9.49452789769
1WM1bot.pdb_1WM1cap.pdb,18.7972531504,9.67417371149
1WM1bot.pdb_1WM1cap.pdb,26.8822959957,9.86356978989
1WM1bot.pdb_1WM1cap.pdb,26.9162953989,5.40953325158
1WM1bot.pdb_1WM1cap.pdb,14.0304792149,8.46360195189
1WM1bot.pdb_1WM1cap.pdb,12.6445392957,11.2921064908
1WM1bot.pdb_1WM1cap.pdb,13.528422968,11.1340024699
1WM1bot.pdb_1WM1cap.pdb,29.7609391989,11.1658944111
1WM1bot.pdb_1WM1cap.pdb,20.3705117511,11.2387734651
1WM1bot.pdb_1WM1cap.pdb,15.5011339263,10.7159455952
1WM1bot.pdb_1WM1cap.pdb,23.7198005683,5.12177801159
1WM1bot.pdb_1WM1cap.pdb,25.1361072165,11.356269678
1WM1bot.pdb_1WM1cap.pdb,23.9803036053,7.70033226556
1WM1bot.pdb_1WM1cap.pdb,28.743085151,10.0163199829
1WM1bot.pdb_1WM1cap.pdb,19.642298898,8.63302496232
1WM1bot.pdb_1WM1cap.pdb,20.3495148591,2.60850723595
1WM1bot.pdb_1WM1cap.pdb,9.50418271079,10.5141054779
1WM1bot.pdb_1WM1cap.pdb,19.9372038661,2.70340784936
1WM1bot.pdb_1WM1cap.pdb,7.03011898904,10.9083325949
1WM1bot.pdb_1WM1cap.pdb,12.9159020591,7.05609502487
1WM1bot.pdb_1WM1cap.pdb,14.5216785875,10.2809167879
1WM1bot.pdb_1WM1cap.pdb,15.8057132392,11.1090238095
1WM1bot.pdb_1WM1cap.pdb,28.3653026249,11.3218207458
1WM1bot.pdb_1WM1cap.pdb,17.59400665,9.68490418125
